Opioid Data Dashboard Indicator,Data Year,Group,Characteristics,Rate Rate (95% CI),Data Source
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2011,Sex,Female,3.4,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2011,Sex,Male,6,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2011,Total,New York State,4.7,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2012,Age Group,0-17 years,0.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2012,Age Group,18-24 years,3.3,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2012,Age Group,25-44 years,6.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2012,Age Group,45-64 years,7.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2012,Age Group,65+ years,1.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2012,Race and Ethnicity,Asian/PI NH,0.3,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2012,Race and Ethnicity,Black NH,2.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2012,Race and Ethnicity,Hispanic,2.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2012,Race and Ethnicity,White NH,6,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2012,Region,NYS Excl NYC,4.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2012,Region,New York City,3.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2012,Sex,Female,3,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2012,Sex,Male,6.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2012,Total,New York State,4.5,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2013,Age Group,0-17 years,0.3,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2013,Age Group,18-24 years,3.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2013,Age Group,25-44 years,6.7,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2013,Age Group,45-64 years,8.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2013,Age Group,65+ years,1.7,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2013,Race and Ethnicity,Asian/PI NH,0.5,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2013,Race and Ethnicity,Black NH,2.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2013,Race and Ethnicity,Hispanic,3.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2013,Race and Ethnicity,White NH,6.5,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2013,Region,NYS Excl NYC,5.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2013,Region,New York City,3.6,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2013,Sex,Female,3.4,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2013,Sex,Male,6.4,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2013,Total,New York State,4.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2014,Age Group,0-17 years,0.3,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2014,Age Group,18-24 years,4.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2014,Age Group,25-44 years,7.6,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2014,Age Group,45-64 years,8.6,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2014,Age Group,65+ years,1.4,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2014,Race and Ethnicity,Asian/PI NH,0.4,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2014,Race and Ethnicity,Black NH,2.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2014,Race and Ethnicity,Hispanic,2.6,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2014,Race and Ethnicity,White NH,6.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2014,Region,NYS Excl NYC,6.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2014,Region,New York City,3.6,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2014,Sex,Female,3.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2014,Sex,Male,6.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2014,Total,New York State,5,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2015,Age Group,0-17 years,0.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2015,Age Group,18-24 years,6.6,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2015,Age Group,25-44 years,12,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2015,Age Group,45-64 years,10.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2015,Age Group,65+ years,1.5,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2015,Race and Ethnicity,Asian/PI NH,0.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2015,Race and Ethnicity,Black NH,3.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2015,Race and Ethnicity,Hispanic,4.7,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2015,Race and Ethnicity,White NH,9.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2015,Region,NYS Excl NYC,8.7,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2015,Region,New York City,4.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2015,Sex,Female,4.3,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2015,Sex,Male,9.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2015,Total,New York State,7,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2016,Age Group,0-17 years,0.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2016,Age Group,18-24 years,13,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2016,Age Group,25-44 years,21.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2016,Age Group,45-64 years,17.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2016,Age Group,65+ years,2.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2016,Race and Ethnicity,Asian/PI NH,0.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2016,Race and Ethnicity,Black NH,9.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2016,Race and Ethnicity,Hispanic,9.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2016,Race and Ethnicity,White NH,15.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2016,Region,NYS Excl NYC,14.4,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2016,Region,New York City,9.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2016,Sex,Female,6.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2016,Sex,Male,17.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2016,Total,New York State,12.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2017,Age Group,0-17 years,0.3,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2017,Age Group,18-24 years,12.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2017,Age Group,25-44 years,26.5,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2017,Age Group,45-64 years,20.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2017,Age Group,65+ years,3.4,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2017,Race and Ethnicity,Asian/PI NH,1.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2017,Race and Ethnicity,Black NH,11.6,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2017,Race and Ethnicity,Hispanic,12.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2017,Race and Ethnicity,White NH,17.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2017,Region,NYS Excl NYC,17.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2017,Region,New York City,11.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2017,Sex,Female,7.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2017,Sex,Male,22.3,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2017,Total,New York State,14.5,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2018,Age Group,0-17 years,0.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2018,Age Group,18-24 years,9.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2018,Age Group,25-44 years,25,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2018,Age Group,45-64 years,20.4,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2018,Age Group,65+ years,4.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2018,Race and Ethnicity,Asian/PI NH,1.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2018,Race and Ethnicity,Black NH,11.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2018,Race and Ethnicity,Hispanic,12.7,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2018,Race and Ethnicity,White NH,16.4,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2018,Region,NYS Excl NYC,15.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2018,Region,New York City,11,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2018,Sex,Female,7.5,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2018,Sex,Male,20.4,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2018,Total,New York State,13.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2019,Age Group,0-17 years,0.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2019,Age Group,18-24 years,9.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2019,Age Group,25-44 years,25.6,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2019,Age Group,45-64 years,20.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2019,Age Group,65+ years,4.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2019,Race and Ethnicity,Asian/PI NH,1.7,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2019,Race and Ethnicity,Black NH,13.6,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2019,Race and Ethnicity,Hispanic,15,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2019,Race and Ethnicity,White NH,15.5,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2019,Region,NYS Excl NYC,15.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2019,Region,New York City,12.7,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2019,Sex,Female,7.6,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2019,Sex,Male,21,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2019,Total,New York State,14.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2020,Age Group,0-17 years,0.3,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2020,Age Group,18-24 years,14.4,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2020,Age Group,25-44 years,36.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2020,Age Group,45-64 years,31.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2020,Age Group,65+ years,6.7,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2020,Race and Ethnicity,Asian/PI NH,2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2020,Race and Ethnicity,Black NH,25.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2020,Race and Ethnicity,Hispanic,20.5,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2020,Race and Ethnicity,White NH,22.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2020,Region,NYS Excl NYC,22.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2020,Region,New York City,19.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2020,Sex,Female,10.6,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2020,Sex,Male,31.7,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2020,Total,New York State,20.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2021,Age Group,0-17 years,0.4,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2021,Age Group,18-24 years,12.6,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2021,Age Group,25-44 years,42.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2021,Age Group,45-64 years,41.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2021,Age Group,65+ years,8.3,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2021,Race and Ethnicity,Asian/PI NH,2.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2021,Race and Ethnicity,Black NH,35.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2021,Race and Ethnicity,Hispanic,27.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2021,Race and Ethnicity,White NH,24.3,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2021,Region,NYS Excl NYC,24.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2021,Region,New York City,24.5,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2021,Sex,Female,13.1,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2021,Sex,Male,36.8,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2021,Total,New York State,24.7,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,Age Group,0-17 years,0.5,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,Age Group,18-24 years,12.5,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,Age Group,25-44 years,43.9,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,Age Group,45-64 years,46.3,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,Age Group,65+ years,11.5,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,Race and Ethnicity,Asian/PI NH,2.3,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,Race and Ethnicity,Black NH,46.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,Race and Ethnicity,Hispanic,30.6,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,Race and Ethnicity,White NH,24.2,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,Region,NYS Excl NYC,26,Data Source: Vital Statistics Data as of March 2025
"Overdose deaths involving opioid pain relievers (incl. illicitly produced opioids such as fentanyl), crude rate per 100,000 population",2022,Region,New York City,28.4,Data Source: Vital Statistics Data as of March 2025
